Pairword,Total,1908,1912,1913,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1949,1948,1950,1951,1966,1952,1953,1955,1954,1958,1956,1957,1962,1959,1960,1961,1973,1964,1963,1965,1975,1967,1968,1969,1970,1971,1991,1972,1974,1976,1977,1978,1979,1980,1981,1983,1982,1987,1984,1985,1989,1986,1988,1990,1992,1993,1994,1995,1996,1997,1998,1999,2001,2000,2002,2003,2004,2005,2006,2007,2008,2009
Failure,4800,2,0,1,2,3,3,2,0,0,1,1,0,0,3,2,8,7,8,9,16,3,7,10,32,24,12,21,18,17,14,21,26,30,47,63,67,59,72,45,52,69,88,43,59,50,70,58,54,74,48,62,53,65,50,67,57,94,79,77,57,81,70,77,62,69,63,79,76,53,57,53,60,52,80,48,77,91,105,74,110,109,65,90,83,108,85,70,81,115,88,83,67,73,63,62,68,51,20
Crash,4050,0,0,1,1,3,3,1,0,2,2,4,1,0,1,2,3,17,22,13,19,13,18,22,26,24,19,33,19,8,14,14,18,16,41,61,59,52,50,46,42,40,45,47,41,33,43,51,52,61,42,57,47,49,56,52,63,61,63,63,61,74,57,49,55,59,55,62,64,46,40,47,35,49,55,53,54,52,87,58,74,68,46,78,69,75,75,68,75,89,75,85,69,70,57,67,60,60,22
Landing,2845,1,0,0,2,0,0,0,0,1,0,0,0,2,1,0,4,8,7,11,11,2,6,3,16,13,13,13,9,6,22,12,16,7,43,42,48,22,29,28,31,29,35,31,32,24,40,30,38,24,29,36,22,36,35,29,46,52,65,44,34,46,57,32,38,38,44,48,35,36,30,46,37,27,41,34,46,46,71,47,56,59,52,58,67,59,37,52,43,72,57,61,37,30,40,35,37,38,16
Weather,1705,0,0,1,0,0,0,0,0,1,0,1,0,0,1,4,0,5,8,10,11,5,8,8,11,10,10,5,3,2,8,2,10,12,11,22,19,18,7,11,28,9,20,8,7,15,18,11,18,16,9,11,32,28,34,32,30,45,23,34,27,34,32,35,41,31,30,38,26,29,19,18,15,23,24,18,13,31,29,32,37,18,30,31,29,26,27,34,35,39,26,38,20,32,14,28,17,20,7
Pilot,1587,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,4,3,6,3,3,3,4,17,8,1,8,4,5,11,3,4,6,19,25,20,14,16,13,19,25,23,10,16,18,23,18,28,19,16,16,11,26,21,20,23,21,24,17,14,27,16,14,9,11,11,23,21,13,13,28,17,14,19,12,18,18,24,30,32,35,26,31,38,37,26,26,36,55,44,56,36,34,23,36,31,33,2
Engine,1229,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,6,1,3,4,5,0,0,1,11,6,3,8,6,0,1,2,2,3,13,24,23,17,25,13,13,23,17,14,15,18,19,17,18,28,4,13,6,13,13,16,19,11,18,21,16,17,14,12,13,25,23,20,19,17,8,19,16,14,30,7,18,18,24,23,22,29,13,37,32,38,27,22,10,32,21,14,18,20,12,11,9,9,1
Approach,938,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,2,1,3,0,0,2,6,11,16,9,13,9,10,9,15,7,12,11,10,9,16,12,11,18,16,17,15,20,19,21,21,21,16,23,16,19,21,10,10,13,19,6,10,15,6,12,14,4,12,15,16,16,20,31,15,18,19,15,17,13,18,27,12,19,13,23,12,10,4,6,4
Runway,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,1,0,7,10,11,9,8,5,3,7,4,5,8,4,9,8,5,5,10,20,8,14,12,7,22,13,12,25,13,12,20,8,14,20,19,12,13,7,10,13,17,14,8,14,13,19,30,16,14,21,21,27,16,22,14,25,19,27,18,20,12,20,18,24,20,14,7
Mountain,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,2,3,3,6,5,6,4,3,4,2,6,6,13,20,17,11,10,14,7,6,8,10,8,7,8,8,9,8,3,17,7,9,7,9,14,12,11,15,14,16,14,12,15,6,16,13,9,11,10,14,5,7,16,8,12,13,16,9,15,15,6,9,13,15,9,16,11,10,8,19,9,21,10,10,7,7,3
Crew,749,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,1,1,1,11,6,10,10,7,7,9,2,8,9,7,7,1,6,12,6,14,5,5,15,6,15,9,14,19,10,16,11,17,10,10,12,13,14,5,5,4,9,6,10,15,11,24,21,21,15,18,12,16,19,23,9,21,18,22,16,16,11,14,10,13,5,11,6
Altitude,688,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,3,2,0,0,4,5,3,2,0,1,0,1,0,4,2,9,13,11,9,9,11,12,12,9,9,10,11,17,6,14,9,11,13,5,11,5,10,10,10,8,8,6,9,6,9,13,6,7,5,6,10,10,15,6,11,12,5,5,9,15,20,11,13,9,14,12,16,13,8,17,19,14,14,13,12,6,7,3,6,0
